,Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi-Major_Axis(AU),Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr,Semi-Major_Axis_km,Semi-Major_Axis_m,Stellar_Mass_kg,Orbital_Velocity_ms,Orbital_Velocity_proportional,Semi_Major_Axis_proportional,Planet_Radius_km,Planet_Radius_Earth_Radii
2012,2013,Kepler-167,Kepler-167 c,4,7.406114,0.0684,0.138,330,4890,0.77,5.4,K4,10232640,10232640000,1.53E+30,99915.26015,9.991526015,102.3264,9865.896,1.548563177
2013,2014,Kepler-167,Kepler-167 d,4,21.803855,0.1405,0.107,330,4890,0.77,5.4,K4,21018800,21018800000,1.53E+30,69714.27452,6.971427452,210.188,7649.644,1.200697536
2014,2015,Kepler-167,Kepler-167 e,4,1071.23228,1.89,0.906,330,4890,0.77,5.4,K4,282744000,2.82744E+11,1.53E+30,19007.67389,1.900767389,2827.44,64771.752,10.1666539
2022,2023,Kepler-17,Kepler-17 b,1,1.4857108,0.02591,1.31,800,5781,1.16,4.2,G2 V,3876136,3876136000,2.31E+30,199255.2623,19.92552623,38.76136,93654.52,14.70012871
2066,2067,Kepler-186,Kepler-186 b,5,3.8867907,0.0343,0.095,172,3755,0.54,6.1,M1,5131280,5131280000,1.07E+30,118158.3266,11.81583266,51.3128,6791.74,1.066039868
2067,2068,Kepler-186,Kepler-186 c,5,7.267302,0.0451,0.112,172,3755,0.54,6.1,M1,6746960,6746960000,1.07E+30,103044.0977,10.30440977,67.4696,8007.104,1.256804897
2068,2069,Kepler-186,Kepler-186 d,5,13.342996,0.0781,0.125,172,3755,0.54,6.1,M1,11683760,11683760000,1.07E+30,78304.34745,7.830434745,116.8376,8936.5,1.402684037
2069,2070,Kepler-186,Kepler-186 e,5,22.407704,0.11,0.113,172,3755,0.54,6.1,M1,16456000,16456000000,1.07E+30,65980.41595,6.598041595,164.56,8078.596,1.268026369
2070,2071,Kepler-186,Kepler-186 f,5,129.9441,0.432,0.104,172,3755,0.54,6.1,M1,64627200,64627200000,1.07E+30,33294.27162,3.329427162,646.272,7435.168,1.167033119
2137,2138,Kepler-21,Kepler-21 b,1,2.78578,0.042717,0.146,113,6305,1.41,3.6,F6 IV,6390463.2,6390463200,2.80E+30,171089.6334,17.10896334,63.904632,10437.832,1.638334955
2163,2164,Kepler-22,Kepler-22 b,1,289.8623,0.849,0.212,190,5518,0.97,4.5,G5 V,127010400,1.2701E+11,1.93E+30,31830.72524,3.183072524,1270.104,15156.304,2.378952127
2287,2288,Kepler-26,Kepler-26 d,4,3.543919,0.039,0.095,339,3914,0.54,6,M0 V,5834400,5834400000,1.07E+30,110810.034,11.0810034,58.344,6791.74,1.066039868
2288,2289,Kepler-26,Kepler-26 e,4,46.827915,0.22,0.215,339,3914,0.54,6,M0 V,32912000,32912000000,1.07E+30,46655.19955,4.665519955,329.12,15370.78,2.412616544
