,Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi-Major_Axis(AU),Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr,Semi-Major_Axis_km,Semi-Major_Axis_m,Stellar_Mass_kg,Orbital_Velocity_ms,Orbital_Velocity_proportional,Semi_Major_Axis_proportional,Planet_Radius_km,Planet_Radius_Earth_Radii
174,175,HAT-P-16,HAT-P-16 b,1,2.77596,0.0413,1.289,235,6158,1.22,3.8,F8,6178480,6178480000,2.43E+30,161852.496,16.1852496,61.7848,92153.188,14.46447779
177,178,HAT-P-18,HAT-P-18 b,1,5.508023,0.0559,0.995,166,4803,0.77,5.2,K2,8362640,8362640000,1.53E+30,110523.3323,11.05233323,83.6264,71134.54,11.16536493
178,179,HAT-P-19,HAT-P-19 b,1,4.008778,0.0466,1.132,215,4990,0.84,5.1,K1,6971360,6971360000,1.67E+30,126433.2193,12.64332193,69.7136,80928.944,12.70270664
180,181,HAT-P-20,HAT-P-20 b,1,2.875317,0.0361,0.867,70,4595,0.76,5.3,K3,5400560,5400560000,1.51E+30,136636.8077,13.66368077,54.0056,61983.564,9.729016481
185,186,HAT-P-25,HAT-P-25 b,1,3.652836,0.0466,1.19,297,5500,1.01,4.5,G5,6971360,6971360000,2.01E+30,138637.9859,13.86379859,69.7136,85075.48,13.35355203
187,188,HAT-P-27,HAT-P-27 b,1,3.039577,0.04,1.02,204,5300,0.94,4.8,G8,5984000,5984000000,1.87E+30,144360.5217,14.43605217,59.84,72921.84,11.44590174
188,189,HAT-P-28,HAT-P-28 b,1,3.257215,0.0434,1.212,395,5680,1.02,4.3,G3,6492640,6492640000,2.03E+30,144367.5987,14.43675987,64.9264,86648.304,13.60042442
221,222,HAT-P-65,HAT-P-65 b,1,2.6054552,0.03951,1.89,841,5835,1.21,4.2,G2,5910696,5910696000,2.41E+30,164798.6623,16.47986623,59.10696,135119.88,21.20858264
222,223,HAT-P-66,HAT-P-66 b,1,2.972086,0.04363,1.59,927,6002,1.25,4,G0,6527048,6527048000,2.49E+30,159395.8139,15.93958139,65.27048,113672.28,17.84214095
233,234,HATS-15,HATS-15 b,1,1.74748753,0.02712,1.105,689,5311,0.87,4.9,G9 V,4057152,4057152000,1.73E+30,168666.6796,16.86666796,40.57152,78998.66,12.39972689
234,235,HATS-16,HATS-16 b,1,2.686502,0.03744,1.3,774,5738,0.97,4.3,G3 V,5601024,5601024000,1.93E+30,151576.7039,15.15767039,56.01024,92939.6,14.58791399
235,236,HATS-17,HATS-17 b,1,16.254611,0.1308,0.777,339,5846,1.13,4,G V,19567680,19567680000,2.25E+30,87528.5757,8.75285757,195.6768,55549.284,8.719083974
236,237,HATS-18,HATS-18 b,1,0.8378434,0.01761,1.337,645,5600,1.04,4,G V,2634456,2634456000,2.07E+30,228850.3091,22.88503091,26.34456,95584.804,15.00310846
237,238,HATS-2,HATS-2 b,1,1.354133,0.023,1.168,360,5227,0.88,5,K,3440800,3440800000,1.75E+30,184200.9772,18.42009772,34.408,83502.656,13.10667964
238,239,HATS-22,HATS-22 b,1,4.7228124,0.05025,0.953,207.9,4803,0.76,5,K V,7517400,7517400000,1.51E+30,115811.9235,11.58119235,75.174,68131.876,10.6940631
