Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi_Major_Axis_AU,Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr
3323,Kepler-895,Kepler-895 b,1,2.80624233,,0.137,516,4315,0.65,,
3324,Kepler-896,Kepler-896 b,1,144.547396,,0.226,896,5262,0.84,,
3325,Kepler-897,Kepler-897 b,1,8.0472642,,0.213,1147,5839,1.03,,
3326,Kepler-898,Kepler-898 b,1,5.8706191,,0.133,479,4223,0.65,,
3327,Kepler-899,Kepler-899 b,1,19.17891293,,0.239,1038,5595,0.93,,
3328,Kepler-9,Kepler-9 b,3,19.24,0.14,0.842,650,5777,1.07,,
3329,Kepler-9,Kepler-9 c,3,38.91,0.225,0.823,650,5777,1.07,,
3330,Kepler-9,Kepler-9 d,3,1.592851,0.0273,0.146,650,5777,1.07,,
3331,Kepler-900,Kepler-900 b,1,6.9913086,,0.186,505,4836,0.78,,
3332,Kepler-901,Kepler-901 b,1,3.51749439,,0.122,241,4184,0.59,,
3333,Kepler-902,Kepler-902 b,1,40.1099547,,0.227,904,5647,0.95,,
3334,Kepler-903,Kepler-903 b,2,10.3507721,,0.179,829,5682,0.98,,
3335,Kepler-903,Kepler-903 c,2,62.9228557,,0.226,829,5682,0.98,,
3336,Kepler-904,Kepler-904 b,1,3.02166863,,0.158,1151,6160,1.16,,
3337,Kepler-905,Kepler-905 b,1,5.08274652,,0.126,521,5461,0.95,,
3338,Kepler-906,Kepler-906 b,1,41.6979976,,0.188,758,6035,1.06,,
3339,Kepler-907,Kepler-907 b,1,15.86621821,,0.107,352,6106,1.08,,
3340,Kepler-908,Kepler-908 b,1,1.34059747,,0.109,250,5973,1.11,,
3341,Kepler-909,Kepler-909 b,1,13.93290318,,0.131,318,6154,1.17,,
3342,Kepler-91,Kepler-91 b,1,6.24658,0.0731,1.367,1030,4550,1.31,5.3,K3
3343,Kepler-910,Kepler-910 b,1,2.36436901,,0.073,402,6230,1.26,,
3344,Kepler-911,Kepler-911 b,1,20.310501,,0.232,567,6112,1.34,,
3345,Kepler-912,Kepler-912 b,1,2.53475627,,0.25,1265,5998,1.07,,
3346,Kepler-913,Kepler-913 b,1,10.29672521,,0.184,597,4687,0.63,,
3347,Kepler-914,Kepler-914 b,1,4.40966548,,0.123,678,5877,1.1,,
3348,Kepler-915,Kepler-915 b,1,4.59489604,,0.134,806,6173,1.21,,
3349,Kepler-916,Kepler-916 b,1,32.2968798,,0.157,769,5248,0.85,,
3350,Kepler-917,Kepler-917 b,1,2.97041437,,0.17,1027,5418,0.8,,
3351,Kepler-918,Kepler-918 b,1,4.85386933,,0.155,1245,6028,1.11,,
3352,Kepler-919,Kepler-919 b,1,11.04603384,,0.201,1219,6113,1.15,,
3353,Kepler-92,Kepler-92 b,3,13.749,,0.313,444,5883,,,
3354,Kepler-92,Kepler-92 c,3,26.723,,0.232,444,5883,,,
3355,Kepler-92,Kepler-92 d,3,49.3568,,0.184,444,5883,,,
3356,Kepler-920,Kepler-920 b,2,6.53192704,,0.216,926,5403,0.89,,
3357,Kepler-920,Kepler-920 c,2,100.8274113,,0.339,926,5403,0.89,,
3358,Kepler-921,Kepler-921 b,1,51.300634,,0.256,847,5663,0.93,,
3359,Kepler-922,Kepler-922 b,1,0.93846683,,0.127,558,5671,0.95,,
3360,Kepler-923,Kepler-923 b,1,6.93366476,,0.123,966,5988,1.11,,
3361,Kepler-924,Kepler-924 b,1,61.0370117,,0.274,995,6167,1.14,,
3362,Kepler-925,Kepler-925 b,1,33.8678531,,0.209,623,4673,0.77,,
3363,Kepler-926,Kepler-926 b,1,52.0688601,,0.206,771,5806,1.01,,
