,Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi_Major_Axis_AU,Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr,Semi_Major_Axis_km,Semi_Major_Axis_m,Stellar_Mass_kg,Orbital_Velocity_ms,Orbital_Velocity_proportional,Semi_Major_Axis_proportional,Planet_Radius_km,Planet_Radius_Earth_Radii,Distance_to_Star_ly,minimum_Travel_Time_yr
589,590,HD 3167,HD 3167 b,3,0.959641,0.01815,0.152,45.8,5261.0,0.86,5.0,K0 V,2715240.0,2715240000.0,1.7105399999999998e+30,204986.5766802387,20.49865766802387,27.1524,10866.784,1.705663789044106,149.308,14604541.851962822
590,591,HD 3167,HD 3167 c,3,29.8454,0.1795,0.26899999999999996,45.8,5261.0,0.86,5.0,K0 V,26853200.0,26853200000.0,1.7105399999999998e+30,65182.57468482213,6.518257468482213,268.532,19231.347999999998,3.018576047716214,149.308,14604541.851962822
723,724,HD 89345,HD 89345 b,1,11.813989999999999,0.105,0.612,126.74,5499.0,1.12,4.5,G5,15708000.0,15708000000.0,2.22768e+30,97258.79254480146,9.725879254480146,157.08,43753.104,6.867541045361795,413.1724,40414402.49602114
802,803,K2-117,K2-117 b,2,1.291505,0.019,0.175,100.0,3842.12,0.58,6.1,M1.0 V,2842400.0,2842400000.0,1.1536199999999999e+30,164532.5043147297,16.45325043147297,28.424,12511.099999999999,1.9637576518599904,326.0,31887645.964984328
803,804,K2-117,K2-117 c,2,5.44482,0.051,0.18100000000000002,100.0,3842.12,0.58,6.1,M1.0 V,7629599.999999999,7629599999.999999,1.1536199999999999e+30,100425.36537496484,10.042536537496483,76.29599999999999,12940.052000000001,2.0310864856380477,326.0,31887645.964984328
828,829,K2-138,K2-138 b,5,2.35322,0.0338,0.14,183.0,5378.0,0.93,5.1,K1 V,5056479.999999999,5056479999.999999,1.84977e+30,156205.97281812225,15.620597281812225,50.56479999999999,10008.880000000001,1.5710061214879927,596.5799999999999,58354392.1159213
829,830,K2-138,K2-138 c,5,3.5598699999999996,0.044539999999999996,0.225,183.0,5378.0,0.93,5.1,K1 V,6663183.999999999,6663183999.999999,1.84977e+30,136075.79481045832,13.607579481045832,66.63184,16085.7,2.524831266677131,596.5799999999999,58354392.1159213
830,831,K2-138,K2-138 d,5,5.404780000000001,0.05882999999999999,0.237,183.0,5378.0,0.93,5.1,K1 V,8800967.999999998,8800967999.999998,1.84977e+30,118401.32482090486,11.840132482090485,88.00967999999997,16943.604,2.659488934233244,596.5799999999999,58354392.1159213
831,832,K2-138,K2-138 e,5,8.261439999999999,0.07807,0.294,183.0,5378.0,0.93,5.1,K1 V,11679272.0,11679272000.0,1.84977e+30,102781.2502811897,10.27812502811897,116.79272,21018.647999999997,3.299112855124784,596.5799999999999,58354392.1159213
832,833,K2-138,K2-138 f,5,12.757589999999999,0.1043,0.251,183.0,5378.0,0.93,5.1,K1 V,15603280.0,15603280000.0,1.84977e+30,88922.9438424191,8.89229438424191,156.0328,17944.492,2.816589546382043,596.5799999999999,58354392.1159213
833,834,K2-139,K2-139 b,1,28.38236,0.179,0.8079999999999999,152.0,5340.0,0.92,5.0,K0 V,26778400.0,26778400000.0,1.82988e+30,67512.14551302954,6.751214551302954,267.784,57765.53599999999,9.066949615444983,495.52,48469221.866776176
835,836,K2-140,K2-140 b,1,6.56918,0.0687,1.093,341.6,5705.0,1.0,4.5,G5,10277520.0,10277520000.0,1.989e+30,113615.12306451054,11.361512306451054,102.7752,78140.756,12.265069219902683,1113.616,108928198.61638646
838,839,K2-146,K2-146 b,1,2.644646,0.0266,0.196,86.0,3385.0,0.36,6.3,M3.0 V,3979360.0,3979360000.0,7.1604e+29,109553.1687694295,10.95531687694295,39.7936,14012.432,2.1994085700831896,280.35999999999996,27423375.529886518
843,844,K2-149,K2-149 b,1,11.332,0.083,0.146,118.0,3745.0,0.59,6.1,M1.0 V,12416800.0,12416800000.0,1.1735099999999999e+30,79396.52072186932,7.939652072186933,124.168,10437.831999999999,1.638334955266049,384.67999999999995,37627422.2386815
845,846,K2-150,K2-150 b,1,10.59357,0.0727,0.17800000000000002,110.0,3499.0,0.46,6.2,M2.5 V,10875920.0,10875920000.0,9.1494e+29,74907.65854697951,7.490765854697951,108.7592,12725.576000000001,1.9974220687490192,358.59999999999997,35076410.56148275
846,847,K2-151,K2-151 b,1,3.8355919999999997,0.0365,0.12,62.7,3585.0,0.44,6.1,M1.5 V,5460400.0,5460400000.0,8.7516e+29,103393.78111183834,10.339378111183834,54.604,8579.039999999999,1.3465766755611364,204.402,19993554.020045172
847,848,K2-152,K2-152 b,1,32.6479,0.1716,0.204,108.7,4044.0,0.63,6.0,M0.0 V,25671360.0,25671360000.0,1.25307e+30,57059.26127738302,5.7059261277383015,256.7136,14584.367999999999,2.2891803484539315,354.36199999999997,34661871.163937956
848,849,K2-153,K2-153 b,1,7.515739999999999,0.0614,0.17800000000000002,143.6,3845.0,0.55,6.3,M3.0 V,9185440.0,9185440000.0,1.09395e+30,89127.48893235813,8.912748893235813,91.8544,12725.576000000001,1.9974220687490192,468.13599999999997,45790659.60571748
849,850,K2-154,K2-154 b,2,3.6762599999999996,0.0405,0.17800000000000002,129.8,4097.0,0.65,6.0,M0.0 V,6058800.0,6058800000.0,1.29285e+30,119300.88859770501,11.930088859770501,60.588,12725.576000000001,1.9974220687490192,423.148,41390164.46254966
850,851,K2-154,K2-154 c,2,7.954860000000001,0.0677,0.185,129.8,4097.0,0.65,6.0,M0.0 V,10127920.0,10127920000.0,1.29285e+30,92273.47061796537,9.227347061796538,101.2792,13226.02,2.0759723748234187,423.148,41390164.46254966
886,887,K2-18,K2-18 b,2,32.93963,0.14300000000000002,0.212,34.0,3457.0,0.36,6.25,M2.5 V,21392800.000000004,21392800000.000004,7.1604e+29,47249.55725884661,4.724955725884661,213.92800000000003,15156.304,2.3789521268246743,110.83999999999999,10841799.62809467
